GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,577.0303,1604.7327,-2732.3861,0.0,0.0,0.0,-1479.9151,-14612.0308,656.9096,7139.5106,-2182.4757,59.792091840000005,-8846.1488,-2122.68360816,-10968.832408160002
1,570.5893,1564.4656,-2730.4075,0.0,0.0,0.0,-1466.5456,-14740.0291,656.6735,7208.4028,-2117.5461,61.97299776,-8936.850999999999,-2055.57310224,-10992.424102239998
2,573.0701,1599.7901,-2712.8701,0.0,0.0,0.0,-1483.6522,-14450.4672,670.9798,7126.1787,-2294.7832,64.3964868,-8676.970800000001,-2230.3867132,-10907.3575132
3,607.8545,1616.8279,-2688.794,0.0,0.0,0.0,-1472.4453,-14670.4371,671.2209,7232.0386,-2204.7503,61.309681919999996,-8703.734499999999,-2143.44061808,-10847.175118079998
4,632.1653,1532.9314,-2712.121,0.0,0.0,0.0,-1478.7779,-14671.4399,674.0704,7201.0301,-2199.8877,60.233300639999996,-8822.141599999999,-2139.6543993600003,-10961.795999359998
5,568.9419,1650.3893,-2680.1473,0.0,0.0,0.0,-1492.0879,-14686.6597,665.735,7220.7823,-2196.5606,62.354807279999996,-8753.0464,-2134.20579272,-10887.25219272
6,598.4374,1568.53,-2737.4283,0.0,0.0,0.0,-1491.8977,-14680.2649,672.228,7253.8226,-2202.2647,61.43126183999999,-8816.572900000003,-2140.8334381600002,-10957.406338160003
7,608.0711,1605.6703,-2699.1149,0.0,0.0,0.0,-1499.7581,-14663.0461,663.5107,7258.5569,-2227.1153,62.368439759999994,-8726.1101,-2164.74686024,-10890.85696024
8,580.3523,1589.0843,-2711.0841,0.0,0.0,0.0,-1472.3892,-14714.5078,680.9927,7256.0632,-2195.9111,62.997785279999995,-8791.4886,-2132.91331472,-10924.40191472
9,614.9274,1628.772,-2724.9448,0.0,0.0,0.0,-1514.9445,-14578.0518,669.7612,7160.0338,-2233.5067,58.45538808,-8744.446699999997,-2175.05131192,-10919.498011919997
10,612.9069,1579.7559,-2706.2816,0.0,0.0,0.0,-1460.0135,-14460.4818,642.6108,7207.0693,-2382.9277,63.22601159999999,-8584.433999999997,-2319.7016884000004,-10904.135688399998
11,625.3124,1560.4645,-2721.3912,0.0,0.0,0.0,-1477.8482,-14782.9984,688.4736,7241.2963,-2141.7424,60.39420912,-8866.691000000003,-2081.34819088,-10948.039190880001
12,624.1395,1572.6316,-2706.6137,0.0,0.0,0.0,-1454.9932,-14791.7869,679.4334,7264.1234,-2175.0609,62.60471064,-8813.0659,-2112.45618936,-10925.52208936
13,594.0775,1584.4497,-2730.5148,0.0,0.0,0.0,-1468.0441,-14735.354,687.2355,7202.1097,-2161.7773,62.62812792,-8866.0405,-2099.1491720800004,-10965.18967208
14,598.7056,1649.4726,-2680.4331,0.0,0.0,0.0,-1462.3602,-14752.6374,652.7683,7189.5354,-2166.7605,60.857147520000005,-8804.948799999998,-2105.9033524799997,-10910.852152479998
15,643.5134,1633.9593,-2671.5243,0.0,0.0,0.0,-1489.5549,-14804.4593,655.327,7185.0734,-2108.6331,60.41862144,-8847.665400000002,-2048.21447856,-10895.879878560001
16,596.881,1563.0302,-2702.9711,0.0,0.0,0.0,-1511.7774,-14723.0518,673.4197,7208.2522,-2190.0181,57.29058792,-8896.2172,-2132.72751208,-11028.944712079998
