GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,601.4491,1614.4681,-2695.7657,0.0,0.0,0.0,-1503.3226,-14665.0856,667.5572,7184.9369,-2201.2845,60.995787119999996,-8795.762600000002,-2140.2887128800003,-10936.051312880001
1,612.6655,1626.2945,-2715.7983,0.0,0.0,0.0,-1504.4699,-14567.9622,645.6878,7126.1766,-2228.9236,63.3423132,-8777.406000000003,-2165.5812868000003,-10942.987286800002
2,604.5608,1535.7073,-2704.475,0.0,0.0,0.0,-1495.9063,-14577.1243,662.3413,7213.5637,-2274.2237,61.723235519999996,-8761.3325,-2212.50046448,-10973.832964480001
3,600.3493,1598.8597,-2726.697,0.0,0.0,0.0,-1480.8645,-14632.6123,671.714,7121.4909,-2159.8899,62.11386288,-8847.759900000001,-2097.77603712,-10945.535937120001
4,601.2443,1643.4934,-2658.0097,0.0,0.0,0.0,-1482.3927,-14645.0982,660.3515,7163.6712,-2207.5957,62.56185336,-8716.7402,-2145.03384664,-10861.77404664
5,587.368,1632.3909,-2695.4232,0.0,0.0,0.0,-1516.7741,-14770.1138,665.1967,7212.8634,-2111.827,62.067715199999995,-8884.492099999998,-2049.7592848000004,-10934.251384799996
6,613.0556,1580.4522,-2704.2685,0.0,0.0,0.0,-1473.6662,-14661.0848,656.8223,7158.1442,-2194.9869,63.86655168,-8830.5452,-2131.1203483199997,-10961.665548320001
7,619.2391,1588.0292,-2695.6462,0.0,0.0,0.0,-1495.2839,-14557.92,637.6504,7148.8295,-2269.0614,63.68447952,-8755.1019,-2205.37692048,-10960.47882048
8,597.7058,1577.5837,-2688.285,0.0,0.0,0.0,-1482.8731,-14546.1979,685.7419,7196.6692,-2345.4968,60.7470444,-8659.6554,-2284.7497556,-10944.405155600001
9,623.045,1629.3797,-2704.8974,0.0,0.0,0.0,-1489.8062,-14551.5825,664.6794,7221.64,-2315.0346,62.05526064,-8607.542000000001,-2252.97933936,-10860.52133936
10,612.5854,1577.8101,-2699.8803,0.0,0.0,0.0,-1482.0233,-14730.4181,660.5028,7243.3135,-2204.4544,60.11217863999999,-8818.109900000001,-2144.34222136,-10962.452121360002
11,598.077,1622.3247,-2682.8928,0.0,0.0,0.0,-1463.3177,-14659.8108,641.7901,7169.3946,-2223.3165,62.533061999999994,-8774.434899999998,-2160.783438,-10935.218337999997
12,608.6101,1596.5426,-2693.8667,0.0,0.0,0.0,-1456.8365,-14617.3605,663.9725,7205.3735,-2247.9735,65.08274112,-8693.565,-2182.8907588800002,-10876.45575888
13,568.5334,1630.5101,-2673.3842,0.0,0.0,0.0,-1473.8411,-14763.0273,671.5935,7266.961,-2175.2697,62.696402639999995,-8772.654600000002,-2112.5732973599997,-10885.227897360002
14,644.6631,1618.075,-2711.5443,0.0,0.0,0.0,-1459.8328,-14751.1072,671.3351,7170.3835,-2119.9454,61.8087996,-8818.027600000001,-2058.1366004,-10876.164200400002
15,597.3437,1582.1139,-2715.8128,0.0,0.0,0.0,-1471.8869,-14630.7083,654.7193,7259.0016,-2280.6258,63.32605488,-8725.229500000001,-2217.29974512,-10942.52924512
16,602.0441,1616.2357,-2694.6355,0.0,0.0,0.0,-1475.5304,-14541.9378,666.2363,7150.7788,-2279.2897,64.456002,-8676.808799999999,-2214.833698,-10891.642497999997
17,609.1704,1547.5451,-2731.5488,0.0,0.0,0.0,-1542.0616,-14678.1355,656.5818,7209.0092,-2167.9547,59.57007048,-8929.4394,-2108.3846295199996,-11037.82402952
18,630.4855,1603.3936,-2704.0726,0.0,0.0,0.0,-1490.9362,-14747.9436,664.2943,7162.2377,-2085.3107,59.204589119999994,-8882.5413,-2026.10611088,-10908.647410880001
19,592.7765,1573.1959,-2728.3669,0.0,0.0,0.0,-1488.5079,-14709.357,686.1464,7205.5168,-2147.2191,59.2430904,-8868.5962,-2087.9760096,-10956.5722096
20,601.8207,1614.2028,-2717.9108,0.0,0.0,0.0,-1490.1704,-14658.2172,671.9187,7202.537,-2197.5443,60.81181199999999,-8775.8192,-2136.732488,-10912.551688
21,602.6105,1531.6797,-2702.5708,0.0,0.0,0.0,-1476.8004,-14792.0021,661.1371,7209.8014,-2068.3421,59.3014392,-8966.1446,-2009.0406607999998,-10975.185260799999
22,574.938,1640.6309,-2711.8028,0.0,0.0,0.0,-1499.8712,-14768.2713,666.0759,7202.1096,-2104.272,58.84558559999999,-8896.190900000001,-2045.4264143999999,-10941.617314400002
23,594.9904,1627.27,-2672.5938,0.0,0.0,0.0,-1504.8281,-14676.047,660.7561,7155.8909,-2170.7277,60.35416128,-8814.5615,-2110.37353872,-10924.93503872
24,555.2948,1608.1634,-2706.1115,0.0,0.0,0.0,-1502.1756,-14649.8109,654.9906,7183.1643,-2157.7469,60.015706560000005,-8856.484900000001,-2097.73119344,-10954.216093440002
25,599.1017,1594.078,-2718.815,0.0,0.0,0.0,-1521.9836,-14635.0006,666.4156,7060.4474,-2076.8739,57.344972399999996,-8955.7565,-2019.5289276,-10975.2854276
26,583.2007,1591.3223,-2720.9536,0.0,0.0,0.0,-1469.0787,-14677.4935,655.7879,7156.0467,-2157.1484,59.659775280000005,-8881.168200000004,-2097.48862472,-10978.656824720003
27,581.9921,1542.5866,-2728.2781,0.0,0.0,0.0,-1500.1455,-14823.5804,682.4668,7297.56,-2110.4972,57.37593456,-8947.398500000003,-2053.1212654399997,-11000.519765440004
28,587.2332,1641.4431,-2708.8921,0.0,0.0,0.0,-1471.8536,-14679.4444,666.98,7135.501,-2172.397,62.39562624,-8829.0328,-2110.0013737599998,-10939.034173760001
29,598.3494,1567.6049,-2715.3447,0.0,0.0,0.0,-1490.7183,-14581.7542,668.3192,7225.0364,-2266.6053,62.2179828,-8728.507300000001,-2204.3873172000003,-10932.8946172
30,583.1424,1600.3718,-2721.5042,0.0,0.0,0.0,-1477.6462,-14644.2599,660.901,7128.432,-2191.5991,62.4454668,-8870.5631,-2129.1536332,-10999.716733199999
31,610.5917,1578.9697,-2699.2634,0.0,0.0,0.0,-1469.1508,-14801.0103,665.0188,7177.8852,-2074.2859,60.966177120000005,-8936.9591,-2013.3197228799997,-10950.278822879998
32,594.6694,1621.7688,-2750.4612,0.0,0.0,0.0,-1520.7787,-14688.6291,668.4306,7198.5634,-2154.8672,60.67317455999999,-8876.436800000003,-2094.19402544,-10970.630825440005
33,635.4335,1639.2392,-2732.6801,0.0,0.0,0.0,-1500.8292,-14736.1852,653.8183,7158.4284,-2112.4519,59.913050399999996,-8882.775099999999,-2052.5388496,-10935.313949599999
34,593.3178,1622.6548,-2738.2715,0.0,0.0,0.0,-1458.8797,-14697.5749,674.9682,7195.466,-2190.899,61.008593760000004,-8808.3193,-2129.8904062399997,-10938.209706239999
