#Frame        phi:121      psi:121
     215    -100.0513      -3.5820
     216     -99.6880      -8.1289
     217    -109.0082       3.1929
     218    -104.6360      -6.4465
     219    -104.3023     -15.6671
     220    -111.2139      -0.1565
     221    -116.3912       0.0688
     222     -98.8592      -0.1866
     223    -101.7244      -9.0392
     224     -90.3203     -10.9602
     225    -105.0631      -3.9617
     226    -108.6151     -14.1253
     227    -115.1526     -16.5437
     228     -95.9344      -0.2512
     229     -87.3508     -15.6512
     230    -115.2901       4.2679
     231    -102.5206      -7.2367
     232    -126.6990      -3.6534
     233    -111.5397      -4.7805
     234     -83.2473       1.8294
     235     -91.4004       3.6214
     236    -107.8354      -0.5893
     237    -105.4967     -10.9615
     238    -110.2617       3.6624
     239    -113.7585      -6.1029
     240    -120.2597      -7.8532
     241     -80.7514     -23.4839
     242    -113.8509     -20.2677
     243     -88.9996      -4.1542
     244    -101.4058     -24.8946
     245    -108.3076      -9.2541
     246    -103.1006     -10.5174
     247     -99.7113      12.2058
     248     -96.6414       3.3476
     249    -104.0636      -4.4122
     250    -111.2387      -9.9898
     251     -94.9944      -4.8147
     252     -93.0151     -17.8852
     253     -95.5376      -9.5117
     254    -105.3131      -0.5026
     255    -123.5958      -4.5611
     256     -90.6357      -5.4869
     257     -96.2763     -15.7426
     258    -120.5235       3.1965
     259    -113.3099       2.2748
     260     -93.4394      -6.3681
     261    -106.7935      -5.4266
     262    -113.9944      -4.9363
     263    -114.6541      -9.9950
     264     -85.1482     -12.2472
     265    -106.1583      -9.2263
     266    -101.1732     -23.2405
     267    -121.5279      -2.8640
     268     -97.7364      -7.6526
     269     -88.7158      -6.6717
     270     -94.8100      -5.1415
     271    -100.3380      -8.6976
     272     -95.9141     -16.1745
     273    -121.7769      -1.8789
     274     -97.9823      -7.2362
     275    -118.4478      10.2651
     276    -105.5081       0.4073
     277     -94.0725      -5.7998
     278    -113.1962     -21.7282
     279    -101.5809     -22.9547
     280     -96.3990      -2.4685
     281    -111.1029       8.4608
     282     -92.0905     -11.3368
     283     -93.2676     -19.3498
     284    -123.8696       4.5893
     285    -124.7683       1.9508
     286    -116.8540       0.7633
     287     -99.3638      -8.4574
     288    -109.8922     -14.2886
     289     -98.5916     -13.0922
     290     -94.6641       9.5029
     291     -94.8804      -3.3807
     292     -88.3146      -3.2087
     293    -131.8899      -8.6348
     294    -110.0238      -4.0821
     295    -100.1030     -14.4040
     296     -97.3295     -16.4759
     297    -112.4354       4.4145
     298    -111.6136     -11.4789
     299     -97.6948       3.5314
     300     -98.9093       7.8991
     301     -91.8296      -0.1913
     302     -86.7576      -2.2810
     303     -92.8346       5.4566
     304     -88.6278      -9.6716
     305    -104.4453       3.1214
     306     -99.7135      -2.2820
     307     -90.3352      -2.9398
     308    -105.1050      -7.3940
     309    -115.7394      -2.8886
     310    -115.5263       0.0872
     311     -93.1067      -1.0963
     312    -115.6249      -2.4665
     313    -119.2807       5.9236
     314     -99.0494      -4.6183
     315    -106.3167     -12.5932
     316    -128.7737       2.0281
     317    -130.8760      -5.5059
     318    -108.6234       5.8674
     319     -98.8077       1.7262
     320    -101.7681      -5.5669
     321    -115.4548     -14.6198
     322    -100.0054      -6.0513
     323    -105.5345      -5.0000
     324    -106.8257       0.3826
     325     -95.3414      -3.1492
     326     -96.3864     -22.0143
     327     -88.0532     -11.1249
     328    -109.1789      -8.9471
     329     -90.8627     -12.7483
     330     -84.4016     -16.0994
     331    -113.0480      -9.3046
     332    -103.2351      -4.1627
     333    -105.5858      -7.6267
     334     -99.6776       5.4713
     335    -118.0522     -12.6590
     336    -104.4114      -0.0167
     337     -99.1144       0.6242
     338     -92.0498     -12.3501
     339    -121.4552      -2.1247
     340     -92.7715     -11.4132
     341    -108.7828      -0.5058
     342     -94.9930      -0.8322
     343    -108.4985      -6.0291
     344     -99.1810     -18.6152
     345    -102.3036      -6.1030
     346     -96.8033     -10.4346
     347    -112.3894     -12.5053
     348    -105.7266      -6.6866
     349    -108.6541     -14.1913
     350     -96.2805      -8.4406
     351    -117.9853      11.8440
     352    -111.8891      -3.8368
     353    -103.1106     -14.8775
     354    -111.4902       1.8198
     355    -119.8867       4.4583
     356    -109.4156       9.8270
     357    -120.2866     -17.7156
     358    -108.3298     -25.6748
     359    -109.1409       0.0819
     360     -96.7329      -8.1527
     361    -128.8547     -22.9072
     362    -115.0058      -8.5018
     363     -99.1859       2.1568
     364     -99.6806       4.2759
     365    -108.0845     -10.6133
     366     -91.6723       3.7981
     367    -115.5614       4.8387
     368    -108.4287      10.3309
     369    -122.5461      -1.7670
     370    -123.8069      -4.3011
     371    -123.8219       1.3948
     372     -86.1321      -6.1030
     373    -120.3013       2.0114
     374    -113.9367      -1.9925
     375    -108.0269      -1.6362
     376    -111.8582      -7.2464
     377    -107.8682      -6.7500
     378    -117.0581     -10.2941
     379    -111.3677      -7.0823
     380    -129.4814     -11.9522
     381     -97.9675       2.5824
     382     -90.4877      -7.5629
     383    -108.5726      -5.6683
     384    -101.0519       1.3057
     385    -131.4752       1.2607
     386    -120.0954     -10.1144
     387    -115.0062       2.3876
     388    -113.4131       5.7661
     389    -114.9645      -2.1811
     390     -94.6401      -6.6909
     391     -96.2179       4.7886
     392    -116.6432       3.7848
     393     -98.4448      11.2030
     394    -126.3686       9.7691
     395    -117.8824       0.1086
     396    -103.2933      -4.5852
     397    -131.8698       0.0704
     398    -100.7752       7.0972
     399     -97.1471     -14.3314
     400    -117.0824       1.6822
     401    -141.6915     -15.3956
     402    -127.2867      -5.9400
     403     -96.7892       1.9967
     404     -88.9226       3.0000
     405     -63.6883      -0.2508
     406     -99.7033       2.6730
     407    -117.0204     -21.4890
     408    -114.5326      -5.6484
     409     -71.3158       1.2858
     410     -87.0175      -1.6043
     411    -108.0100     -10.7405
     412    -115.9162      -4.5736
     413     -80.4410     -14.0643
     414    -100.9572     -13.7271
     415    -126.2151      -6.2235
     416     -98.6038       1.5629
     417    -104.9232      -1.0845
     418    -133.8203      -1.6319
     419     -98.1341     -13.8933
     420    -120.8955     -12.9569
     421    -116.2216       3.8450
     422     -91.5480      -2.2416
     423    -106.9445     -10.9017
     424     -98.8840     -11.8131
     425    -122.7711     -10.9338
     426    -109.9087      -0.0819
     427    -126.5120      -3.2562
     428    -117.6677      -0.0956
     429    -120.2218       1.5895
     430    -104.0106      -6.0444
     431    -100.5178      -6.3325
     432    -117.5304     -11.2805
     433    -115.4670      -2.6552
     434    -132.1596      -3.5200
     435    -121.0969       0.9631
     436    -100.2466      11.0117
     437     -96.2160     -16.3391
     438    -110.8835      -6.0336
     439    -104.5918      -5.4755
     440    -112.3410     -20.6180
     441    -112.9209       0.7786
     442     -97.3970     -19.9774
     443    -101.1795      -2.2063
     444    -104.0344     -11.8714
     445     -98.7346      -6.8677
     446    -125.0202     -14.0340
     447    -111.1634      -3.7294
     448    -116.7012      -7.9049
     449    -106.6901      -2.2338
     450    -106.9800     -14.9329
     451    -109.8193     -13.5891
     452     -97.6997     -16.8392
     453    -104.3032       9.6957
     454     -97.5673     -23.2231
     455     -94.7126      -1.0909
     456     -88.2936      13.0469
     457    -111.6120      -6.1761
     458    -103.8160      -7.7238
     459    -100.8942       3.8219
     460     -97.4528      -2.7550
     461    -110.0532      -5.1714
     462     -88.3261      -1.3537
     463     -98.9236     -16.6227
     464    -127.1357      -9.9949
     465    -117.0332      -0.2239
     466     -87.4639       7.3788
     467    -116.9605       1.6074
     468    -104.8634      -6.4647
     469    -109.0907       4.2486
     470     -98.2887     -15.6322
     471    -128.2275      -1.3252
     472    -117.3108      -7.3457
     473    -106.6019     -19.7988
     474    -118.2937      -1.7852
     475    -104.7420       0.2908
     476    -104.8615       9.2238
     477    -107.5162      -4.9452
     478    -116.0101       7.1865
     479     -90.1602     -15.1996
     480    -142.8179       8.4486
     481    -116.0954      -5.6921
     482    -108.1165       3.5686
     483    -129.2655      -8.9282
     484    -124.2147      -0.9744
     485    -111.2683       3.9607
     486    -116.9577      -4.6793
     487    -112.5257     -12.4434
     488    -105.3653     -18.3105
     489     -89.7103     -16.2542
     490    -107.5665     -19.9470
     491    -104.7474      14.9114
     492    -119.4382      -3.1312
     493    -133.3284      -5.9557
     494    -115.5735      -2.6840
     495    -112.6206      -8.0257
     496    -101.6629      -5.1316
     497    -119.4435      -6.3746
     498    -103.1599      -7.8239
     499    -101.7850      -9.6106
     500     -95.6780     -10.0634
     501    -115.0628      -8.2453
     502    -134.6161      -1.7028
     503    -112.9734      11.8487
     504    -116.9865      -4.2078
     505    -108.5252      -4.8138
     506    -123.4933      -0.1320
     507     -70.1327     -10.3761
     508    -117.7469       2.9341
     509    -104.1846     -10.2218
     510    -122.5064      10.3398
     511    -109.1510      -8.0164
     512     -95.5000      -3.9078
     513     -90.1972      -7.2625
     514    -110.5088      -1.5265
     515     -68.3537     -21.1049
     516    -115.2571      -5.2292
     517    -119.9711      -9.7781
     518    -108.5771      -8.2880
     519    -109.2026     -10.4607
     520    -122.1599      -4.4834
     521     -99.8287      -1.0146
     522    -108.8370       0.9593
     523    -106.2758      -6.2457
     524    -105.7505       1.1547
     525     -97.9984     -10.1887
     526     -96.6907      -7.8137
     527    -101.8603     -18.1141
     528    -118.5614      -4.0499
     529    -110.1511      -2.7229
     530    -107.9399     -16.3626
     531     -96.4436      -4.2629
     532    -110.5335     -20.5366
     533     -92.4003     -27.1138
     534    -100.8458       9.9891
     535     -97.4201      -1.2689
     536     -96.3492      -3.0801
     537     -83.6094      -1.6374
     538    -104.6348     -15.1896
     539     -75.1026      -3.3569
     540    -100.1225     -17.2629
     541    -108.1262     -10.5830
     542    -116.3178       0.3413
     543     -87.8938      -5.9178
     544     -74.5821      -8.7894
     545    -113.8455      -5.7155
     546    -121.1632       1.0120
     547    -123.3638      10.2088
     548    -106.8926     -10.4940
     549    -109.1583       7.3975
     550    -104.3869      -0.9319
     551    -114.1157       0.7021
     552     -97.5003      -5.5294
     553     -97.8236       4.9861
     554     -94.0717     -20.6782
     555    -119.2162      -9.8848
     556    -111.5277      -6.2076
     557     -96.5038       0.0276
     558    -105.5779      -8.0340
     559     -94.6956      -9.8204
     560    -113.1311     -19.0562
     561     -90.8129     -11.3602
     562    -102.0706       5.2260
     563     -97.6781       1.9052
     564     -91.6882     -10.5575
     565    -104.3925      -2.6211
     566    -117.5037      -4.4438
     567     -87.7829       4.7158
     568    -102.4747      -8.5127
     569    -119.3878     -14.7841
     570    -131.8443       6.5837
     571    -126.3386       1.2618
     572     -90.4197       0.2721
     573    -111.3173      -0.7684
     574     -95.4635       1.8039
     575     -82.1740       3.0094
     576    -100.2133       2.9406
     577    -113.8973      -4.4501
     578    -108.1515       0.8347
     579     -92.9408      -6.1739
     580     -83.3822      -8.3118
     581     -92.1989     -26.5403
     582    -101.2284       0.1552
     583    -106.5683     -17.3882
     584     -92.9654      -9.1472
     585    -125.5972       9.5115
     586    -128.8072      -1.2360
     587    -106.1751      -7.0189
     588     -99.8415      -8.2880
     589     -91.8130     -30.2713
     590    -109.5748      -7.9082
     591    -120.3275     -16.9203
     592     -94.7455     -12.3899
     593    -118.5530       1.4059
     594     -95.6134     -15.3786
     595    -127.4301       1.6172
     596    -119.2951      -5.2513
     597     -99.3694     -12.1508
     598     -95.5770     -20.4456
     599    -101.1992     -13.7276
     600     -94.3651      -3.9679
     601    -102.2592      15.9441
     602    -103.0019      -8.2973
     603     -94.0769       2.6728
     604    -106.1794      -0.2416
     605     -82.8924      -5.5617
     606     -92.4193     -18.7675
     607     -99.8539     -16.5990
     608    -101.4458      -8.3971
     609    -109.0868      -8.5470
     610    -113.4862     -11.0932
     611    -105.8545     -10.5631
     612     -83.3768     -14.1382
     613    -115.1002       9.8373
     614     -97.2611     -15.1573
     615    -102.1612       8.1885
     616     -97.0644     -16.0792
     617    -116.5699     -13.1712
     618    -101.2603      -1.3337
     619     -97.6734     -15.7097
     620    -119.5063     -10.5610
     621    -115.1743     -15.7507
     622    -129.9970      -8.4057
     623    -109.5265     -31.7745
     624    -114.7923      -1.9710
     625    -108.8067     -34.2627
     626    -126.4275     -14.6274
     627     -97.6558     -30.8015
     628     -87.3652     -46.6052
     629     -89.3134     -50.2163
     630     -80.4652     -25.4135
     631     -96.5829     -28.0326
     632    -114.7966      -6.8995
     633     -82.6367     -41.7824
     634    -117.3252     -27.8526
     635     -96.5345     -18.0302
     636    -111.7059     -23.1699
     637     -80.5363     -29.2659
     638    -107.0651     -23.2923
     639     -98.0033     -26.3281
     640    -106.9783     -24.3617
     641     -95.1207     -44.7130
     642    -100.7196     -22.8834
     643    -116.5006     -20.1231
     644    -104.8455      -7.2557
     645     -87.1422     -54.7398
     646    -129.0755     -26.1485
     647     -94.4981     -20.2180
     648    -102.6767       0.5726
     649     -93.0370     -13.0347
     650    -115.5851     -23.7607
     651    -126.1811     -20.6746
     652     -92.2199     -23.2120
     653    -111.2402      -9.8531
     654    -119.8530     -14.4026
     655    -121.2382       2.5884
     656    -108.3860      -3.6522
     657    -109.6356     -37.4525
     658     -80.6867     -38.5482
     659    -107.5111     -17.7362
     660    -107.8566     -19.2419
     661    -112.6892     -13.2667
     662    -144.2133      -4.9122
     663     -99.7052     -36.8464
     664    -127.1915     -11.7270
     665     -69.4248     -15.8472
     666    -110.9805     -18.1307
     667    -100.4278     -32.2123
     668     -88.5173     -21.1673
     669     -74.7868     -41.2863
     670    -110.5088     -34.5454
     671    -104.7084     -15.5161
     672     -93.7309     -15.9060
     673    -121.3719     -26.1192
     674    -116.4978     -18.5605
     675    -116.1103     -13.0145
     676    -102.6352      -9.2664
     677     -93.3863     -11.7637
     678    -125.0096     -14.9258
     679    -109.0478     -12.4101
     680     -88.5962      -9.7282
     681    -102.8234       7.3033
     682    -105.0655     -11.6314
     683    -118.6579     -17.1738
     684     -94.4655     -17.1577
     685     -89.6766      -7.9342
     686    -100.4752     -18.6211
     687    -112.9211      -5.8654
     688     -96.1749      -1.8855
