GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,569.5972,1619.4063,-2724.8722,0.0,0.0,0.0,-1500.2463,-14953.6378,660.6609,7325.5179,-2154.5385,60.570819359999994,-9003.573999999997,-2093.9676806400003,-11097.541680639997
1,603.0913,1614.5079,-2763.2535,0.0,0.0,0.0,-1515.8714,-15004.8674,668.495,7355.7296,-2119.9666,61.99062552,-9042.1685,-2057.9759744800003,-11100.14447448
2,582.7272,1592.6898,-2691.2264,0.0,0.0,0.0,-1521.9393,-15043.8146,679.5293,7396.5371,-2089.7769,61.70436504,-9005.4969,-2028.0725349599998,-11033.56943496
3,608.9664,1594.9839,-2678.1482,0.0,0.0,0.0,-1517.3382,-15077.3525,678.2412,7405.8287,-2125.7608,60.89630472,-8984.818700000002,-2064.86449528,-11049.683195280002
4,598.2632,1599.7392,-2701.3084,0.0,0.0,0.0,-1479.3786,-15106.5136,667.1701,7417.8331,-2140.6415,64.00580184,-9004.195,-2076.63569816,-11080.83069816
5,601.6654,1594.3279,-2720.1976,0.0,0.0,0.0,-1471.3827,-15153.0677,662.9779,7345.9934,-2032.9957,63.214307999999996,-9139.683399999998,-1969.7813919999999,-11109.464791999997
6,639.1686,1559.2794,-2694.1236,0.0,0.0,0.0,-1522.5977,-14969.6698,627.1555,7336.5615,-2157.4365,61.30340639999999,-9024.2261,-2096.1330936,-11120.3591936
7,585.9293,1652.1431,-2730.6441,0.0,0.0,0.0,-1457.3441,-14967.1957,673.8466,7380.2854,-2220.2509,63.99425016,-8862.979499999998,-2156.25664984,-11019.236149839997
8,580.9759,1598.0133,-2726.0706,0.0,0.0,0.0,-1485.8817,-14983.9464,661.7561,7293.1164,-2111.6166,62.23881024000001,-9062.037,-2049.37778976,-11111.41478976
9,631.8765,1578.579,-2710.9457,0.0,0.0,0.0,-1482.7827,-14946.2283,663.4994,7335.2213,-2223.5491,61.387497360000005,-8930.7805,-2162.16160264,-11092.942102640001
10,575.9002,1613.2047,-2684.1434,0.0,0.0,0.0,-1469.2297,-14950.4404,663.6543,7420.1185,-2268.3532,63.9711864,-8830.9358,-2204.3820136,-11035.317813599999
11,577.8298,1612.865,-2715.9467,0.0,0.0,0.0,-1452.6272,-14974.7611,666.3999,7324.4482,-2163.142,64.21608791999999,-8961.792099999999,-2098.9259120799998,-11060.718012079999
12,595.2438,1555.9196,-2702.865,0.0,0.0,0.0,-1495.4215,-15049.6382,689.2862,7363.4527,-2098.2806,61.66525607999999,-9044.0224,-2036.61534392,-11080.63774392
13,640.5864,1627.5262,-2711.0923,0.0,0.0,0.0,-1496.7248,-14999.0833,654.0817,7315.696,-2120.0758,61.0963128,-8969.010099999998,-2058.9794872,-11027.989587199998
14,572.7196,1581.796,-2692.6835,0.0,0.0,0.0,-1502.694,-15047.6423,667.9988,7435.199,-2157.1391,63.27088344,-8985.306399999998,-2093.86821656,-11079.174616559998
15,637.5164,1618.9746,-2718.156,0.0,0.0,0.0,-1510.5776,-14937.6896,656.3184,7266.5232,-2144.1396,60.115126319999995,-8987.0906,-2084.02447368,-11071.11507368
16,611.7272,1573.3383,-2719.4779,0.0,0.0,0.0,-1479.1539,-14980.5863,667.8268,7383.1713,-2192.2904,62.6842872,-8943.1545,-2129.6061127999997,-11072.7606128
17,643.3411,1580.5767,-2718.9268,0.0,0.0,0.0,-1488.267,-15014.4321,643.8464,7315.916,-2122.6216,62.27638848,-9037.9457,-2060.34521152,-11098.29091152
18,613.3209,1600.7517,-2700.7774,0.0,0.0,0.0,-1492.7451,-14945.481,670.8031,7366.3447,-2214.8897,62.07292872000001,-8887.7831,-2152.81677128,-11040.599871280001
19,625.1548,1648.8097,-2699.1514,0.0,0.0,0.0,-1533.2671,-14774.8497,659.3755,7269.65,-2258.356,58.72151808,-8804.2782,-2199.6344819200003,-11003.912681920001
20,614.4847,1632.7043,-2731.9046,0.0,0.0,0.0,-1546.6196,-14786.7842,641.8928,7308.413,-2216.8731,60.08987376,-8867.813600000001,-2156.7832262399997,-11024.596826240002
21,608.5556,1642.5466,-2686.8703,0.0,0.0,0.0,-1535.0746,-14899.9147,677.862,7309.7899,-2186.4219,60.387474239999996,-8883.1055,-2126.03442576,-11009.139925759999
22,639.7239,1617.0342,-2718.1737,0.0,0.0,0.0,-1524.7737,-14759.8844,679.4267,7305.9488,-2299.1616,59.71261392,-8760.6982,-2239.44898608,-11000.14718608
23,641.3639,1569.2866,-2709.9264,0.0,0.0,0.0,-1515.3127,-14995.206,679.8159,7362.2761,-2145.1636,60.20639135999999,-8967.7026,-2084.95720864,-11052.65980864
24,610.6551,1550.0119,-2678.069,0.0,0.0,0.0,-1527.3613,-14748.009,655.176,7345.8858,-2324.5168,62.25387624,-8791.710500000001,-2262.26292376,-11053.97342376
25,633.7774,1595.2341,-2706.7055,0.0,0.0,0.0,-1505.6113,-14912.4337,671.4476,7353.647,-2204.1714,62.35452576,-8870.644400000001,-2141.8168742400003,-11012.46127424
26,582.9053,1599.4906,-2703.9257,0.0,0.0,0.0,-1497.7971,-14960.9059,648.7155,7351.7136,-2181.1229,63.61267608,-8979.803699999997,-2117.51022392,-11097.313923919997
