GENERALIZED BORN:
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,G gas,G solv,TOTAL
0,562.9051,1574.76,-2685.2116,0.0,0.0,0.0,-1513.1836,-14493.384,669.6255,6791.8674,-2118.5763,58.606614,-9092.621199999998,-2059.9696860000004,-11152.590885999998
1,622.4378,1564.0857,-2681.3137,0.0,0.0,0.0,-1492.8817,-14529.0761,661.1983,6785.1815,-2103.67,59.95638216,-9070.3682,-2043.71361784,-11114.08181784
2,588.1968,1539.6899,-2705.6436,0.0,0.0,0.0,-1485.1151,-14348.3412,648.3564,6781.1446,-2206.1564,63.507402719999995,-8981.712200000002,-2142.64899728,-11124.36119728
3,613.8844,1619.0337,-2665.2004,0.0,0.0,0.0,-1464.7744,-14576.3369,653.6469,6777.9172,-2054.1978,58.67982359999999,-9041.8295,-1995.5179764,-11037.3474764
4,595.3174,1624.9103,-2679.3327,0.0,0.0,0.0,-1487.7016,-14602.1794,658.8536,6783.1938,-2032.6848,59.26593239999999,-9106.938600000001,-1973.4188676,-11080.3574676
5,587.0152,1644.1898,-2660.015,0.0,0.0,0.0,-1495.5817,-14613.332,646.1332,6805.0613,-2045.1829,60.41880504,-9086.529199999997,-1984.76409496,-11071.293294959996
6,613.4908,1614.7652,-2642.3833,0.0,0.0,0.0,-1483.1462,-14612.2731,665.3679,6783.3256,-2030.8729,58.669385760000004,-9060.853100000002,-1972.20351424,-11033.056614240002
7,659.9405,1577.5648,-2639.2679,0.0,0.0,0.0,-1474.7084,-14611.132,665.0286,6813.156,-2051.2972,63.724763519999996,-9009.418399999999,-1987.57243648,-10996.99083648
8,615.6229,1578.4345,-2693.7465,0.0,0.0,0.0,-1481.9559,-14486.2828,656.7862,6811.1899,-2149.8368,62.46165528,-8999.951700000001,-2087.37514472,-11087.326844720003
9,600.5852,1595.0208,-2684.9034,0.0,0.0,0.0,-1478.729,-14461.0693,671.9425,6831.7888,-2166.5681,61.528188959999994,-8925.364399999999,-2105.03991104,-11030.40431104
10,575.8366,1557.3647,-2657.3997,0.0,0.0,0.0,-1499.1982,-14498.0534,674.7293,6820.911,-2133.2477,59.63884487999999,-9025.809700000002,-2073.60885512,-11099.41855512
11,608.0498,1599.0644,-2697.5033,0.0,0.0,0.0,-1464.4478,-14513.9998,653.2899,6782.4883,-2117.2838,60.33120983999999,-9033.0585,-2056.95259016,-11090.01109016
12,620.3415,1666.2867,-2690.0413,0.0,0.0,0.0,-1466.2102,-14482.9622,659.241,6832.782,-2204.6039,64.31327352,-8860.5625,-2140.29062648,-11000.85312648
13,620.3053,1545.0793,-2665.3048,0.0,0.0,0.0,-1519.8728,-14544.5494,674.175,6813.3356,-2058.9791,59.91010992,-9076.831800000002,-1999.06899008,-11075.900790080002
14,611.6344,1649.4554,-2657.3028,0.0,0.0,0.0,-1486.7752,-14693.0884,658.0344,6842.3518,-2022.4403,61.23721392,-9075.6904,-1961.20308608,-11036.89348608
15,620.3189,1574.224,-2685.0073,0.0,0.0,0.0,-1494.7621,-14663.9662,666.7071,6792.7444,-1977.7386,61.219309679999995,-9189.7412,-1916.51929032,-11106.26049032
16,591.7152,1628.4591,-2692.3829,0.0,0.0,0.0,-1454.7754,-14578.9721,657.8886,6798.1364,-2085.4497,63.606816,-9049.931099999998,-2021.8428840000001,-11071.773984
17,630.7649,1636.9187,-2667.2169,0.0,0.0,0.0,-1487.6508,-14713.6117,645.6312,6837.4871,-2018.0596,61.1135928,-9117.6775,-1956.9460072,-11074.6235072
18,634.1226,1616.6848,-2697.9102,0.0,0.0,0.0,-1493.9173,-14623.5225,654.7662,6874.2055,-2070.2934,61.66097352,-9035.5709,-2008.63242648,-11044.203326480001
19,601.2722,1607.7973,-2686.8659,0.0,0.0,0.0,-1515.4148,-14627.6361,674.7459,6841.0093,-2029.22,59.26358231999999,-9105.092100000002,-1969.95641768,-11075.048517680001
20,598.9224,1633.0187,-2687.9602,0.0,0.0,0.0,-1488.3963,-14503.9136,648.3803,6800.3934,-2117.9949,62.99786159999999,-8999.5553,-2054.9970384000003,-11054.552338399999
21,597.5571,1554.8174,-2662.7682,0.0,0.0,0.0,-1479.6848,-14526.5773,650.3203,6883.1537,-2170.4183,63.070896239999996,-8983.181800000002,-2107.34740376,-11090.529203760001
22,641.7508,1614.052,-2649.2347,0.0,0.0,0.0,-1482.4671,-14632.9452,685.1874,6822.599,-2045.8683,59.79217463999999,-9001.057799999999,-1986.07612536,-10987.133925359998
23,607.138,1602.5852,-2668.9955,0.0,0.0,0.0,-1504.7445,-14495.0008,645.285,6827.2241,-2141.5983,59.866617600000005,-8986.5085,-2081.7316824,-11068.240182399999
24,607.0287,1630.1706,-2689.5456,0.0,0.0,0.0,-1497.5504,-14497.0559,655.2645,6789.6922,-2095.2949,58.47908544,-9001.995900000002,-2036.8158145599998,-11038.811714560003
25,639.4428,1634.5813,-2693.0954,0.0,0.0,0.0,-1441.0989,-14576.4013,652.3043,6788.1937,-2078.018,60.9089184,-8996.073499999999,-2017.1090816,-11013.182581599998
